Date,Ticker,Open,High,Low,Close,Volume
2023-08-18,LEXX,1.11,1.11,1.02,1.03,100449.0
2023-08-21,LEXX,1.04,1.1388,1.04,1.08,63936.0
2023-08-22,LEXX,1.091,1.1,1.04,1.07,56342.0
2023-08-23,LEXX,1.15,1.15,1.06,1.1052,88784.0
2023-08-24,LEXX,1.0827,1.1,1.07,1.09,38371.0
2023-08-25,LEXX,1.11,1.11,1.07,1.0782,12016.0
2023-08-28,LEXX,1.15,1.15,1.02,1.0299,92827.0
2023-08-29,LEXX,1.05,1.05,0.99,1.03,196547.0
2023-08-30,LEXX,1.04,1.09,0.99,0.99,86979.0
2023-08-31,LEXX,1.0,1.09,1.0,1.0499,53590.0
2023-09-01,LEXX,1.02,1.0568,1.0,1.0,145616.0
2023-09-05,LEXX,0.98,1.045,0.895,0.95,102910.0
2023-09-06,LEXX,0.9215,0.954899,0.89,0.8928,110259.0
2023-09-07,LEXX,0.9,0.91,0.844,0.863,92171.0
2023-09-08,LEXX,0.892449,0.9392,0.8502,0.8901,16309.0
2023-09-11,LEXX,0.9,0.915,0.85,0.8761,12731.0
2023-09-12,LEXX,0.88,0.915899,0.88,0.915899,14069.0
2023-09-13,LEXX,0.92,0.9762,0.87,0.96,28107.0
2023-09-14,LEXX,1.01,1.01,0.95,0.950201,43063.0
2023-09-15,LEXX,0.95,0.979899,0.871,0.871,93213.0
2023-09-18,LEXX,0.86,0.9142,0.86,0.91,41115.0
2023-09-19,LEXX,0.9189,0.9189,0.8627,0.9099,47400.0
2023-09-20,LEXX,0.91,0.9399,0.9,0.9047,21091.0
2023-09-21,LEXX,0.9,0.92,0.9,0.92,25292.0
2023-09-22,LEXX,0.9358,0.9699,0.9,0.9325,32223.0
2023-09-25,LEXX,0.9,0.95,0.9,0.9,15551.0
2023-09-26,LEXX,0.93,0.95,0.9,0.95,36962.0
2023-09-27,LEXX,0.9998,0.9999,0.9533,0.96,67587.0
2023-09-28,LEXX,0.9999,1.0,0.97,0.97,22133.0
2023-09-29,LEXX,0.8502,0.9999,0.8502,0.9999,50196.0
2023-10-02,LEXX,0.99,1.0,0.9,0.965,23435.0
2023-10-03,LEXX,0.99,1.01,0.85,1.0,48152.0
2023-10-04,LEXX,0.97,1.0099,0.9301,0.95,32751.0
2023-10-05,LEXX,0.9998,0.9998,0.9,0.92,22134.0
2023-10-06,LEXX,0.899899,0.9998,0.899899,0.9913,32910.0
2023-10-09,LEXX,0.981668,0.9988,0.85,0.9988,21388.0
2023-10-10,LEXX,0.9864,0.99,0.9001,0.9858,23968.0
2023-10-11,LEXX,0.94,0.99,0.935,0.98,20244.0
2023-10-12,LEXX,0.99,1.01,0.97,0.979899,40015.0
2023-10-13,LEXX,1.05,1.11,0.9,0.915099,540482.0
2023-10-16,LEXX,0.91,1.0,0.9,0.937,62006.0
2023-10-17,LEXX,0.96,1.04,0.94,0.96,66545.0
2023-10-18,LEXX,0.95,1.0199,0.94,0.9998,137883.0
2023-10-19,LEXX,1.04,1.12,0.9866,1.08,78822.0
2023-10-20,LEXX,1.11,1.19,1.08,1.18,100802.0
2023-10-23,LEXX,1.15,1.41,1.1248,1.33,370605.0
2023-10-24,LEXX,1.41,1.46,1.17,1.21,581438.0
2023-10-25,LEXX,1.29,1.29,1.1,1.14,56594.0
2023-10-26,LEXX,1.12,1.19,1.08,1.12,19852.0
2023-10-27,LEXX,1.1,1.17,1.08,1.16,38323.0
2023-10-30,LEXX,1.1671,1.34,1.1671,1.33,123903.0
2023-10-31,LEXX,1.25,1.4,1.25,1.38,325957.0
2023-11-01,LEXX,1.4,1.45,1.33,1.45,153868.0
2023-11-02,LEXX,1.48,1.48,1.37,1.43,112238.0
2023-11-03,LEXX,1.48,1.73,1.38,1.46,513715.0
2023-11-06,LEXX,1.47,1.5899,1.43,1.55,237870.0
2023-11-07,LEXX,1.62,1.75,1.4801,1.69,243994.0
2023-11-08,LEXX,1.66,1.7,1.5,1.565,176068.0
2023-11-09,LEXX,1.64,1.64,1.54,1.57,53030.0
2023-11-10,LEXX,1.6,1.6,1.29,1.41,241033.0
2023-11-13,LEXX,1.38,1.41,1.29,1.32,79744.0
2023-11-14,LEXX,1.3,1.31,1.2201,1.3,63826.0
2023-11-15,LEXX,1.33,1.34,1.2728,1.34,17915.0
2023-11-16,LEXX,1.3375,1.4199,1.3,1.39,36553.0
2023-11-17,LEXX,1.32,1.3672,1.25,1.3099,44755.0
2023-11-20,LEXX,1.34,1.34,1.23,1.23,48383.0
2023-11-21,LEXX,1.23,1.28,1.2,1.26,35122.0
2023-11-22,LEXX,1.26,1.39,1.25,1.32,86411.0
2023-11-24,LEXX,1.34,1.34,1.31,1.31,10162.0
2023-11-27,LEXX,1.34,1.81,1.31,1.63,656912.0
2023-11-28,LEXX,1.63,1.7,1.42,1.6,200484.0
2023-11-29,LEXX,1.6,1.65,1.48,1.5,109364.0
2023-11-30,LEXX,1.57,1.61,1.45,1.5,44966.0
2023-12-01,LEXX,1.49,1.7,1.48,1.58,220610.0
2023-12-04,LEXX,1.59,1.59,1.45,1.52,56723.0
2023-12-05,LEXX,1.52,1.54,1.46,1.54,37402.0
2023-12-06,LEXX,1.48,1.585,1.48,1.51,31260.0
2023-12-07,LEXX,1.49,1.58,1.39,1.44,645785.0
2023-12-08,LEXX,1.4,1.4309,1.34,1.35,146368.0
2023-12-11,LEXX,1.34,1.429,1.34,1.36,58057.0
2023-12-12,LEXX,1.33,1.36,1.2309,1.27,207590.0
2023-12-13,LEXX,1.25,1.43,1.25,1.43,26226.0
2023-12-14,LEXX,1.4,1.45,1.39,1.39,59709.0
2023-12-15,LEXX,1.47,1.47,1.27,1.27,87362.0
2023-12-18,LEXX,1.37,1.41,1.3,1.41,46234.0
2023-12-19,LEXX,1.44,1.46,1.35,1.405,46852.0
2023-12-20,LEXX,1.35,1.435,1.28,1.3,37475.0
2023-12-21,LEXX,1.33,1.3599,1.31,1.34,10427.0
2023-12-22,LEXX,1.32,1.38,1.27,1.29,30245.0
2023-12-26,LEXX,1.26,1.3,1.24,1.24,17861.0
2023-12-27,LEXX,1.24,1.3099,1.24,1.28,6015.0
2023-12-28,LEXX,1.29,1.36,1.26,1.28,21453.0
2023-12-29,LEXX,1.26,1.3,1.24,1.25,131866.0
2024-01-02,LEXX,1.27,1.3661,1.27,1.29,104572.0
2024-01-03,LEXX,1.31,1.32,1.28,1.3,14721.0
2024-01-04,LEXX,1.28,1.4,1.2,1.39,304162.0
2024-01-05,LEXX,1.36,1.5,1.3201,1.35,77337.0
2024-01-08,LEXX,1.35,1.46,1.2701,1.37,34909.0
2024-01-09,LEXX,1.38,1.4471,1.33,1.42,130290.0
2024-01-10,LEXX,1.46,1.4899,1.38,1.44,194125.0
2024-01-11,LEXX,1.45,1.53,1.4001,1.52,117081.0
2024-01-12,LEXX,1.54,1.56,1.51,1.51,59084.0
2024-01-16,LEXX,1.6,1.64,1.47,1.55,272179.0
2024-01-17,LEXX,1.64,1.68,1.54,1.63,228683.0
2024-01-18,LEXX,1.67,1.67,1.5031,1.6,240233.0
2024-01-19,LEXX,1.58,1.58,1.43,1.47,208393.0
2024-01-22,LEXX,1.52,1.53,1.4515,1.525,35951.0
2024-01-23,LEXX,1.56,1.59,1.5,1.52,98468.0
2024-01-24,LEXX,1.57,1.6099,1.51,1.57,117058.0
2024-01-25,LEXX,1.6,1.6,1.45,1.46,100905.0
2024-01-26,LEXX,1.5,1.5,1.36,1.42,58550.0
2024-01-29,LEXX,1.49,1.5,1.42,1.5,41863.0
2024-01-30,LEXX,1.6,1.6296,1.46,1.48,43312.0
2024-01-31,LEXX,1.44,1.5467,1.4271,1.49,54177.0
2024-02-01,LEXX,1.54,1.58,1.47,1.57,73295.0
2024-02-02,LEXX,1.61,1.785,1.5,1.74,237646.0
2024-02-05,LEXX,1.69,2.21,1.65,1.71,533918.0
2024-02-06,LEXX,1.76,2.1592,1.7006,1.94,549503.0
2024-02-07,LEXX,2.0,2.09,1.9,1.98,227124.0
2024-02-08,LEXX,2.01,2.099,1.9,1.9,138118.0
2024-02-09,LEXX,1.88,2.52,1.88,2.3,788947.0
2024-02-12,LEXX,2.31,2.42,2.21,2.27,204199.0
2024-02-13,LEXX,2.25,2.58,2.25,2.46,233302.0
2024-02-14,LEXX,2.45,2.78,2.4,2.6,315707.0
2024-02-15,LEXX,2.6,2.6464,2.25,2.36,432691.0
2024-02-16,LEXX,2.3,2.41,2.1,2.14,428511.0
2024-02-20,LEXX,2.14,2.3499,2.14,2.32,205246.0
2024-02-21,LEXX,2.26,2.3,2.22,2.25,103243.0
2024-02-22,LEXX,2.37,2.37,2.13,2.27,290766.0
2024-02-23,LEXX,2.25,2.26,2.06,2.21,93345.0
2024-02-26,LEXX,2.27,2.27,2.18,2.26,137992.0
2024-02-27,LEXX,2.43,2.75,2.26,2.4,706887.0
2024-02-28,LEXX,2.68,2.9499,2.5001,2.55,1014313.0
2024-02-29,LEXX,2.78,3.45,2.65,3.45,1029740.0
2024-03-01,LEXX,2.49,2.93,2.31,2.92,1612584.0
2024-03-04,LEXX,2.9,3.25,2.75,3.0,644342.0
2024-03-05,LEXX,3.13,3.6101,2.81,3.38,1003638.0
2024-03-06,LEXX,3.5,4.5,3.45,4.48,1370172.0
2024-03-07,LEXX,4.88,5.34,4.2,5.0,1417821.0
2024-03-08,LEXX,5.05,6.01,5.05,5.5,1543163.0
2024-03-11,LEXX,5.54,6.85,5.49,6.25,1258536.0
2024-03-12,LEXX,6.35,6.45,3.36,4.18,3630946.0
2024-03-13,LEXX,4.05,5.1785,4.021,4.4,1001956.0
2024-03-14,LEXX,4.44,4.49,3.75,3.85,508774.0
2024-03-15,LEXX,3.8,4.05,3.65,3.9,464837.0
2024-03-18,LEXX,3.84,3.8921,3.1501,3.4,818230.0
2024-03-19,LEXX,3.34,4.1699,2.99,4.0,1092393.0
2024-03-20,LEXX,3.98,4.22,3.61,3.7,409492.0
2024-03-21,LEXX,3.7,3.96,3.36,3.44,848151.0
2024-03-22,LEXX,3.42,3.554,3.3,3.47,186701.0
2024-03-25,LEXX,3.46,4.0,3.4001,3.95,605285.0
2024-03-26,LEXX,3.92,3.97,3.75,3.79,234292.0
2024-03-27,LEXX,3.84,3.91,3.6,3.71,232891.0
2024-03-28,LEXX,3.7,3.92,3.59,3.63,168460.0
2024-04-01,LEXX,3.82,3.82,3.25,3.42,159197.0
2024-04-02,LEXX,3.36,3.5,3.32,3.47,134543.0
2024-04-03,LEXX,3.38,3.5694,3.23,3.41,246703.0
2024-04-04,LEXX,3.29,3.48,3.17,3.19,270527.0
2024-04-05,LEXX,3.12,3.29,3.05,3.05,124644.0
2024-04-08,LEXX,3.18,3.18,2.93,2.96,155258.0
2024-04-09,LEXX,3.03,3.03,2.64,2.7,246969.0
2024-04-10,LEXX,2.65,2.79,2.6,2.66,143405.0
2024-04-11,LEXX,2.6,2.72,2.5,2.51,249700.0
2024-04-12,LEXX,2.64,2.64,2.12,2.12,456031.0
2024-04-15,LEXX,2.12,2.14,1.91,1.99,315206.0
2024-04-16,LEXX,1.98,2.35,1.85,2.31,306531.0
2024-04-17,LEXX,2.3,2.73,2.25,2.34,461093.0
2024-04-18,LEXX,2.34,2.41,2.22,2.25,124708.0
2024-04-19,LEXX,2.26,2.29,2.15,2.2,61647.0
2024-04-22,LEXX,2.19,2.29,2.19,2.265,34458.0
2024-04-23,LEXX,2.24,2.3,2.2,2.24,53986.0
2024-04-24,LEXX,2.2,2.28,2.18,2.2,98910.0
2024-04-25,LEXX,2.15,2.3,2.15,2.19,22122.0
2024-04-26,LEXX,2.17,2.45,2.17,2.35,172106.0
2024-04-29,LEXX,2.39,2.4899,2.32,2.46,123838.0
2024-04-30,LEXX,2.44,3.14,2.44,3.09,648569.0
2024-05-01,LEXX,3.06,3.68,3.06,3.49,363660.0
2024-05-02,LEXX,3.5,3.53,2.95,3.0,185054.0
2024-05-03,LEXX,3.05,3.24,2.93,3.13,111594.0
2024-05-06,LEXX,3.44,3.5099,3.18,3.41,294182.0
2024-05-07,LEXX,3.37,3.48,3.22,3.43,226517.0
2024-05-08,LEXX,3.39,3.5599,3.34,3.54,106814.0
2024-05-09,LEXX,3.6,3.81,3.42,3.6,192366.0
2024-05-10,LEXX,3.62,4.0,3.52,3.55,256011.0
2024-05-13,LEXX,3.62,3.62,3.14,3.18,231565.0
2024-05-14,LEXX,3.13,3.26,3.055,3.08,101852.0
2024-05-15,LEXX,3.09,3.1465,3.025,3.08,174494.0
2024-05-16,LEXX,3.05,3.19,3.05,3.14,117387.0
2024-05-17,LEXX,3.17,3.43,3.06,3.15,281635.0
2024-05-20,LEXX,3.18,3.2,2.83,2.92,347329.0
2024-05-21,LEXX,2.85,3.07,2.795,2.99,355261.0
2024-05-22,LEXX,2.92,2.9899,2.66,2.75,332384.0
2024-05-23,LEXX,2.75,2.88,2.7277,2.88,345581.0
2024-05-24,LEXX,2.87,3.1896,2.86,3.12,223654.0
2024-05-28,LEXX,3.16,3.52,3.01,3.39,492140.0
2024-05-29,LEXX,3.35,3.84,3.35,3.8,494081.0
2024-05-30,LEXX,4.1,4.4,3.82,3.99,640716.0
2024-05-31,LEXX,3.98,4.15,3.56,3.89,414675.0
2024-06-03,LEXX,3.93,4.44,3.72,3.89,763498.0
2024-06-04,LEXX,3.9,4.18,3.89,4.0,124844.0
2024-06-05,LEXX,3.96,4.11,3.74,3.81,171010.0
2024-06-06,LEXX,3.7,3.84,3.2701,3.41,296580.0
2024-06-07,LEXX,3.41,3.74,3.18,3.27,355893.0
2024-06-10,LEXX,3.3,3.35,3.1306,3.27,112554.0
2024-06-11,LEXX,3.27,3.29,3.05,3.07,82905.0
2024-06-12,LEXX,3.24,3.27,3.1,3.24,75164.0
2024-06-13,LEXX,3.28,3.63,3.26,3.29,151635.0
2024-06-14,LEXX,3.31,3.35,2.99,3.09,97177.0
2024-06-17,LEXX,3.11,3.1724,2.76,2.93,255030.0
2024-06-18,LEXX,2.92,3.1,2.89,2.97,171420.0
2024-06-20,LEXX,3.0,3.08,2.75,2.88,196017.0
2024-06-21,LEXX,2.9,2.9,2.66,2.69,147499.0
2024-06-24,LEXX,2.57,2.83,2.57,2.65,121062.0
2024-06-25,LEXX,2.83,2.83,2.5,2.59,170783.0
2024-06-26,LEXX,2.58,2.652,2.5,2.61,133652.0
2024-06-27,LEXX,2.69,2.84,2.52,2.63,175656.0
2024-06-28,LEXX,2.65,2.8297,2.5779,2.78,101127.0
2024-07-01,LEXX,2.75,2.813,2.65,2.76,69336.0
2024-07-02,LEXX,2.74,2.74,2.55,2.62,123872.0
