Date,Ticker,Open,High,Low,Close,Volume
2023-07-28,JMSB,19.33,19.95,19.31,19.35,12358
2023-07-31,JMSB,19.39,19.58,18.69,19.0,15790
2023-08-01,JMSB,19.0,19.14,18.805,19.11,10877
2023-08-02,JMSB,18.91,19.28,18.91,19.23,6107
2023-08-03,JMSB,19.0,19.84,19.0,19.53,8073
2023-08-04,JMSB,19.75,19.955,19.65,19.71,6432
2023-08-07,JMSB,19.7001,20.0,19.7001,19.85,4197
2023-08-08,JMSB,19.75,20.2,19.215,19.97,13047
2023-08-09,JMSB,19.91,20.22,19.29,19.55,8171
2023-08-10,JMSB,19.74,19.93,19.04,19.79,10655
2023-08-11,JMSB,19.71,19.71,19.195,19.5,7486
2023-08-14,JMSB,18.9908,19.254,18.89,18.89,5529
2023-08-15,JMSB,18.8,19.55,18.5632,19.0,10363
2023-08-16,JMSB,19.0578,19.27,17.85,17.87,20418
2023-08-17,JMSB,17.87,18.66,17.8,18.54,21737
2023-08-18,JMSB,18.21,18.54,17.66,17.66,45265
2023-08-21,JMSB,17.75,18.5446,17.72,18.21,14250
2023-08-22,JMSB,18.225,18.25,17.6,17.9,24443
2023-08-23,JMSB,17.62,18.49,17.25,18.44,18300
2023-08-24,JMSB,18.31,18.92,17.3612,18.44,12311
2023-08-25,JMSB,18.07,18.68,18.04,18.68,4812
2023-08-28,JMSB,18.74,19.03,18.62,18.62,4761
2023-08-29,JMSB,19.0,19.0,18.3001,18.59,14096
2023-08-30,JMSB,18.4101,18.5,18.4,18.43,6070
2023-08-31,JMSB,18.42,18.965,17.475,17.67,11272
2023-09-01,JMSB,17.68,18.22,17.68,18.2,11529
2023-09-05,JMSB,17.94,18.34,17.89,18.31,10652
2023-09-06,JMSB,17.8501,17.86,17.5,17.66,11102
2023-09-07,JMSB,17.73,17.98,17.5,17.53,39081
2023-09-08,JMSB,17.5,17.83,17.3,17.51,18091
2023-09-11,JMSB,17.5,18.39,17.5,18.16,24596
2023-09-12,JMSB,18.25,18.33,17.325,17.6,8203
2023-09-13,JMSB,17.7,18.38,17.3654,17.83,15183
2023-09-14,JMSB,18.0,18.25,17.875,18.2,8735
2023-09-15,JMSB,18.1,18.5,17.66,18.24,59458
2023-09-18,JMSB,18.14,18.49,17.97,18.325,14339
2023-09-19,JMSB,18.47,18.47,17.5495,17.88,24596
2023-09-20,JMSB,17.84,18.48,17.84,18.0,11544
2023-09-21,JMSB,17.87,18.49,16.82,17.22,29650
2023-09-22,JMSB,17.14,18.2,16.95,18.04,30180
2023-09-25,JMSB,18.03,18.4,17.89,18.05,20421
2023-09-26,JMSB,18.01,18.19,17.89,17.89,15774
2023-09-27,JMSB,18.2148,18.6,17.91,18.1,29934
2023-09-28,JMSB,18.23,18.99,17.61,17.61,11791
2023-09-29,JMSB,17.8,18.39,17.62,17.85,20311
2023-10-02,JMSB,17.91,18.09,17.52,17.52,30331
2023-10-03,JMSB,17.01,17.98,17.01,17.79,13538
2023-10-04,JMSB,17.56,18.4,17.49,17.89,13075
2023-10-05,JMSB,17.95,18.2,17.81,18.2,27164
2023-10-06,JMSB,17.76,18.2,17.715,18.05,14035
2023-10-09,JMSB,17.7,18.03,17.7,17.72,7782
2023-10-10,JMSB,17.96,18.155,17.935,17.99,12722
2023-10-11,JMSB,17.7206,18.2833,17.7206,18.03,6697
2023-10-12,JMSB,18.07,18.13,17.9832,18.04,6367
2023-10-13,JMSB,17.97,18.0,17.46,18.0,6130
2023-10-16,JMSB,18.02,18.39,18.02,18.15,16324
2023-10-17,JMSB,18.07,18.97,18.07,18.36,21500
2023-10-18,JMSB,18.26,18.26,17.0801,17.82,8833
2023-10-19,JMSB,17.0,17.74,16.9,17.45,15880
2023-10-20,JMSB,17.64,17.64,16.92,16.92,15834
2023-10-23,JMSB,16.92,16.985,15.42,15.65,27135
2023-10-24,JMSB,15.84,16.0,15.44,15.75,8487
2023-10-25,JMSB,15.16,16.45,14.38,15.8,31392
2023-10-26,JMSB,15.91,17.34,15.91,17.09,15633
2023-10-27,JMSB,17.2,17.675,16.8,17.34,11269
2023-10-30,JMSB,17.67,18.5,17.14,18.5,10949
2023-10-31,JMSB,18.27,18.74,18.27,18.38,9373
2023-11-01,JMSB,18.64,18.64,17.85,17.85,11673
2023-11-02,JMSB,17.86,17.89,16.52,17.48,19359
2023-11-03,JMSB,17.48,18.48,16.02,18.48,25873
2023-11-06,JMSB,18.41,18.85,18.185,18.23,9508
2023-11-07,JMSB,18.24,18.4,18.24,18.4,11000
2023-11-08,JMSB,18.4,18.4,17.85,18.2,8180
2023-11-09,JMSB,18.31,18.31,18.11,18.11,5601
2023-11-10,JMSB,18.11,18.4,17.86,18.12,12073
2023-11-13,JMSB,17.73,18.5,17.73,18.23,10702
2023-11-14,JMSB,18.6,21.56,17.8401,21.56,40655
2023-11-15,JMSB,21.0,21.0,19.2,19.27,17072
2023-11-16,JMSB,18.56,19.248,18.56,18.66,10394
2023-11-17,JMSB,18.91,19.18,18.81,19.1,20747
2023-11-20,JMSB,18.96,19.19,18.47,19.16,5113
2023-11-21,JMSB,18.92,19.19,18.28,18.28,7831
2023-11-22,JMSB,18.78,18.9,18.78,18.9,2877
2023-11-24,JMSB,19.0,19.0,18.6,18.75,4504
2023-11-27,JMSB,18.5,19.0,18.5,19.0,10689
2023-11-28,JMSB,18.81,18.89,18.6,18.6,6059
2023-11-29,JMSB,19.2,19.52,18.75,19.52,17145
2023-11-30,JMSB,19.7,19.75,19.3465,19.75,8318
2023-12-01,JMSB,19.51,21.01,19.51,20.68,35461
2023-12-04,JMSB,20.57,21.05,18.55,18.8,38446
2023-12-05,JMSB,18.63,18.76,17.8,18.27,29550
2023-12-06,JMSB,18.04,19.46,18.04,19.09,22290
2023-12-07,JMSB,19.28,19.97,19.2799,19.89,16080
2023-12-08,JMSB,20.58,20.58,19.55,19.86,11575
2023-12-11,JMSB,20.0,20.0,19.01,19.51,40467
2023-12-12,JMSB,19.78,19.99,18.96,19.33,15711
2023-12-13,JMSB,19.83,20.54,19.305,19.73,41669
2023-12-14,JMSB,19.76,20.975,19.54,20.67,26934
2023-12-15,JMSB,21.0,23.47,20.53,22.5,135783
2023-12-18,JMSB,22.27,22.41,21.5,22.38,25470
2023-12-19,JMSB,22.5,24.0,22.35,23.66,33529
2023-12-20,JMSB,23.66,24.84,22.62,23.7,49938
2023-12-21,JMSB,23.59,23.98,23.5,23.5,17618
2023-12-22,JMSB,23.96,24.11,23.5,23.98,16447
2023-12-26,JMSB,24.15,24.5,23.6175,23.87,25977
2023-12-27,JMSB,24.0,24.49,23.96,24.49,19803
2023-12-28,JMSB,24.2781,24.47,24.05,24.24,17360
2023-12-29,JMSB,23.81,23.97,22.4,22.56,18992
2024-01-02,JMSB,22.56,22.56,20.34,20.39,12833
2024-01-03,JMSB,20.53,22.17,19.725,21.0,35943
2024-01-04,JMSB,21.39,22.975,20.625,22.52,36085
2024-01-05,JMSB,22.54,24.04,22.39,22.89,41004
2024-01-08,JMSB,23.49,23.49,22.01,22.59,18727
2024-01-09,JMSB,22.04,22.04,20.85,20.85,10014
2024-01-10,JMSB,20.68,21.23,20.12,21.1,18287
2024-01-11,JMSB,21.0,21.0,20.11,20.48,14467
2024-01-12,JMSB,21.11,21.6499,20.54,21.18,9703
2024-01-16,JMSB,20.88,21.29,20.35,20.35,14385
2024-01-17,JMSB,19.63,19.98,19.26,19.51,15640
2024-01-18,JMSB,19.65,20.46,19.65,20.46,9758
2024-01-19,JMSB,20.85,20.85,19.85,20.2,23809
2024-01-22,JMSB,20.38,20.71,20.38,20.71,10913
2024-01-23,JMSB,21.13,21.13,19.5801,20.38,15566
2024-01-24,JMSB,20.41,20.5,20.14,20.14,9008
2024-01-25,JMSB,20.53,20.9,19.53,20.21,22959
2024-01-26,JMSB,20.52,20.52,19.79,19.95,13209
2024-01-29,JMSB,19.809,21.37,19.809,21.37,45318
2024-01-30,JMSB,20.78,20.92,19.75,19.79,17415
2024-01-31,JMSB,19.31,19.82,19.0,19.0,24746
2024-02-01,JMSB,18.5,18.9,18.2,18.26,21623
2024-02-02,JMSB,17.82,18.16,17.5,17.6,27473
2024-02-05,JMSB,17.55,17.91,17.2162,17.68,22652
2024-02-06,JMSB,17.49,18.1,16.61,17.55,29236
2024-02-07,JMSB,17.63,17.9534,16.8815,17.12,17110
2024-02-08,JMSB,17.29,17.91,17.02,17.26,14042
2024-02-09,JMSB,18.0,18.99,17.75,18.74,33740
2024-02-12,JMSB,18.75,19.245,18.4,18.56,32120
2024-02-13,JMSB,18.38,18.38,17.21,17.83,57063
2024-02-14,JMSB,18.0,18.5,17.964,18.47,13721
2024-02-15,JMSB,18.58,19.24,17.97,18.89,26734
2024-02-16,JMSB,18.9,19.29,18.57,18.66,14946
2024-02-20,JMSB,18.34,18.6,17.5301,17.62,11092
2024-02-21,JMSB,17.29,17.58,16.92,17.5,13703
2024-02-22,JMSB,17.35,17.93,16.94,17.91,46531
2024-02-23,JMSB,17.645,18.31,17.645,18.02,6447
2024-02-26,JMSB,17.87,18.4,17.735,17.84,15412
2024-02-27,JMSB,18.31,18.4,17.9,17.9,5790
2024-02-28,JMSB,17.64,18.44,17.4404,17.55,19299
2024-02-29,JMSB,18.08,18.08,17.03,17.5,15575
2024-03-01,JMSB,17.54,17.82,17.54,17.71,10560
2024-03-04,JMSB,17.52,17.88,17.46,17.46,6608
2024-03-05,JMSB,17.47,17.92,17.47,17.52,6203
2024-03-06,JMSB,17.55,17.79,17.5,17.79,6404
2024-03-07,JMSB,17.75,18.29,17.67,17.82,19345
2024-03-08,JMSB,17.99,18.09,17.52,17.95,11931
2024-03-11,JMSB,17.66,18.04,17.484,17.66,9355
2024-03-12,JMSB,18.0568,18.0568,17.22,17.6,7995
2024-03-13,JMSB,17.68,18.09,17.68,18.09,14192
2024-03-14,JMSB,17.79,17.79,16.65,17.69,52010
2024-03-15,JMSB,17.15,18.56,17.15,18.5,46073
2024-03-18,JMSB,18.48,18.725,17.75,17.75,12906
2024-03-19,JMSB,18.37,18.37,17.63,17.63,8911
2024-03-20,JMSB,18.4305,18.4305,17.58,18.2,14233
2024-03-21,JMSB,17.3298,18.49,17.3298,18.36,17253
2024-03-22,JMSB,18.5,18.62,17.48,17.48,18692
2024-03-25,JMSB,17.4,18.14,17.13,18.14,11579
2024-03-26,JMSB,18.14,18.14,17.5362,17.8,6458
2024-03-27,JMSB,18.14,18.14,17.7,18.1,11085
2024-03-28,JMSB,18.0921,18.0921,17.31,17.92,9048
2024-04-01,JMSB,17.4425,17.46,17.07,17.32,8089
2024-04-02,JMSB,15.72,17.54,15.72,17.46,22356
2024-04-03,JMSB,17.23,17.94,17.23,17.76,9134
2024-04-04,JMSB,18.0,18.0,17.08,17.09,15124
2024-04-05,JMSB,17.8,17.8,16.93,16.93,5297
2024-04-08,JMSB,16.76,16.76,16.76,16.76,3595
2024-04-09,JMSB,16.782,17.4,16.782,17.14,2862
2024-04-10,JMSB,16.62,17.5,16.0,16.36,13750
2024-04-11,JMSB,16.08,16.77,16.08,16.77,9869
2024-04-12,JMSB,16.8,17.5,15.5,15.55,11739
2024-04-15,JMSB,15.48,15.54,15.0,15.51,11838
2024-04-16,JMSB,15.0,16.34,15.0,16.26,11763
2024-04-17,JMSB,16.6252,16.6252,16.25,16.3,4059
2024-04-18,JMSB,16.28,17.25,16.25,16.81,20176
2024-04-19,JMSB,16.64,17.4,16.64,17.35,6031
2024-04-22,JMSB,17.18,17.43,17.18,17.18,5853
2024-04-23,JMSB,17.17,17.2,16.43,17.19,23593
2024-04-24,JMSB,17.0,17.22,16.9,17.0,13944
2024-04-25,JMSB,17.19,17.4999,16.82,17.0,16984
2024-04-26,JMSB,17.25,17.5,17.25,17.36,11297
2024-04-29,JMSB,17.48,17.48,16.95,17.37,14015
2024-04-30,JMSB,17.18,17.4799,16.52,16.52,12721
2024-05-01,JMSB,16.74,17.4075,16.44,17.02,21188
2024-05-02,JMSB,17.0,17.48,17.0,17.12,13998
2024-05-03,JMSB,17.415,17.47,17.33,17.43,5452
2024-05-06,JMSB,17.49,17.82,17.49,17.77,8849
2024-05-07,JMSB,17.795,17.82,17.64,17.64,8342
2024-05-08,JMSB,17.74,17.74,17.34,17.34,3863
2024-05-09,JMSB,17.43,17.69,17.43,17.69,6231
2024-05-10,JMSB,17.72,17.72,17.01,17.01,10535
2024-05-13,JMSB,17.0301,17.1,15.83,16.5,47364
2024-05-14,JMSB,16.91,17.24,16.91,17.17,8485
2024-05-15,JMSB,17.55,17.7,17.16,17.16,7973
2024-05-16,JMSB,17.02,17.34,17.02,17.34,11196
2024-05-17,JMSB,17.47,17.47,17.13,17.25,7473
2024-05-20,JMSB,17.14,17.14,16.82,16.93,7752
2024-05-21,JMSB,17.15,17.45,17.15,17.45,3142
2024-05-22,JMSB,17.46,17.46,17.01,17.03,7114
2024-05-23,JMSB,17.2325,17.24,17.0,17.0,14775
2024-05-24,JMSB,17.0,17.25,17.0,17.16,11257
2024-05-28,JMSB,17.23,17.465,17.03,17.11,7960
2024-05-29,JMSB,17.01,17.4027,16.8,16.8,12833
2024-05-30,JMSB,16.81,17.4,16.8,17.4,6547
2024-05-31,JMSB,17.45,17.6,17.19,17.24,8348
2024-06-03,JMSB,17.49,17.49,16.93,16.93,3105
2024-06-04,JMSB,16.995,17.12,16.995,17.12,5423
2024-06-05,JMSB,16.96,17.2,16.895,17.2,10410
2024-06-06,JMSB,16.85,17.06,16.8,16.94,10590
2024-06-07,JMSB,16.8,16.93,16.62,16.62,8178
2024-06-10,JMSB,16.61,16.8699,16.61,16.8,8169
2024-06-11,JMSB,16.66,16.83,16.3,16.83,17768
2024-06-12,JMSB,17.25,17.25,16.705,16.94,11659
2024-06-13,JMSB,17.06,17.06,17.06,17.06,4390
2024-06-14,JMSB,16.8,16.86,16.41,16.46,9532
2024-06-17,JMSB,16.31,17.07,16.31,17.07,6356
2024-06-18,JMSB,16.5301,17.24,16.42,16.47,27055
2024-06-20,JMSB,16.47,17.0,16.47,17.0,5576
2024-06-21,JMSB,16.94,17.25,16.45,16.45,36955
2024-06-24,JMSB,16.4707,16.76,16.4707,16.68,3837
2024-06-25,JMSB,16.56,17.14,16.56,16.85,9871
2024-06-26,JMSB,16.85,17.25,16.7,16.71,26869
2024-06-27,JMSB,16.89,17.56,16.735,17.56,14549
2024-06-28,JMSB,17.55,17.63,16.71,17.44,117776
2024-07-01,JMSB,17.0,17.29,16.73,16.73,14270
2024-07-02,JMSB,16.75,17.15,16.6863,16.86,15114
2024-07-03,JMSB,16.66,17.34,16.5108,17.34,12251
2024-07-05,JMSB,17.01,17.34,16.49,16.5,25435
2024-07-08,JMSB,16.77,17.03,16.39,16.83,20179
2024-07-09,JMSB,16.94,16.94,16.28,16.4,12705
2024-07-10,JMSB,16.42,16.9099,16.0301,16.58,9922
2024-07-11,JMSB,16.38,17.23,16.37,17.02,23677
2024-07-12,JMSB,17.23,17.7,17.05,17.63,30532
2024-07-15,JMSB,17.5,19.43,17.34,19.43,52668
2024-07-16,JMSB,19.43,20.0,18.91,19.64,40434
2024-07-17,JMSB,18.97,19.8999,18.67,19.55,116040
2024-07-18,JMSB,19.5,19.99,18.86,18.86,11760
2024-07-19,JMSB,19.03,19.25,18.23,18.46,13656
2024-07-22,JMSB,17.792,19.71,17.792,19.0,31852
2024-07-23,JMSB,18.9,19.21,18.58,18.85,37129
2024-07-24,JMSB,18.97,19.44,18.61,18.89,17279
2024-07-25,JMSB,18.92,20.5,18.92,20.0,40548
2024-07-26,JMSB,20.53,20.53,19.71,20.0,14622
2024-07-29,JMSB,19.8,19.95,19.425,19.43,4988
2024-07-30,JMSB,19.71,19.8,18.79,19.42,46580
2024-07-31,JMSB,19.54,19.7,19.16,19.33,25257
2024-08-01,JMSB,19.47,19.47,18.635,19.1,22204
2024-08-02,JMSB,18.75,18.825,18.295,18.7,31874
2024-08-05,JMSB,17.99,18.31,17.26,18.0,32140
2024-08-06,JMSB,17.85,18.1,17.7,18.1,8363
2024-08-07,JMSB,18.34,18.34,17.9,18.25,9018
2024-08-08,JMSB,18.41,19.22,18.41,19.22,7571
2024-08-09,JMSB,19.05,19.2024,18.64,18.83,39905
2024-08-12,JMSB,18.64,18.85,18.5,18.66,13112
2024-08-13,JMSB,18.7,18.99,18.7,18.99,4900
2024-08-14,JMSB,18.96,19.0,18.64,18.76,9070
2024-08-15,JMSB,19.0,19.89,19.0,19.03,19307
2024-08-16,JMSB,19.22,19.5,18.9185,19.15,20144
2024-08-19,JMSB,19.17,19.23,19.16,19.16,3066
2024-08-20,JMSB,19.09,19.09,18.82,18.91,8280
2024-08-21,JMSB,18.65,18.87,18.64,18.85,5181
