Date,Ticker,Open,High,Low,Close,Volume
2022-12-29,EVRG,63.54,63.845,63.36,63.52,796320.0
2022-12-30,EVRG,63.52,63.7175,62.375,62.93,742780.0
2023-01-03,EVRG,63.68,63.68,61.86,62.93,1194626.0
2023-01-04,EVRG,63.35,64.46,63.05,63.89,1454732.0
2023-01-05,EVRG,63.5,63.84,62.64,62.99,1301087.0
2023-01-06,EVRG,63.54,65.39,63.36,64.78,1646450.0
2023-01-09,EVRG,64.58,65.105,64.105,64.28,1312577.0
2023-01-10,EVRG,63.81,64.27,63.48,64.18,1315918.0
2023-01-11,EVRG,64.18,64.59,64.09,64.41,1128319.0
2023-01-12,EVRG,64.38,64.66,63.68,63.92,1102639.0
2023-01-13,EVRG,63.51,63.915,62.8,62.89,1008980.0
2023-01-17,EVRG,62.89,63.285,62.08,62.57,1655302.0
2023-01-18,EVRG,62.87,62.87,60.47,60.52,2224035.0
2023-01-19,EVRG,60.44,60.58,59.2,59.25,1643612.0
2023-01-20,EVRG,58.93,59.76,58.08,59.64,2006780.0
2023-01-23,EVRG,59.35,60.5,59.175,60.14,1493877.0
2023-01-24,EVRG,60.25,61.57,59.76,61.35,1316186.0
2023-01-25,EVRG,61.24,62.17,60.795,61.93,1888676.0
2023-01-26,EVRG,61.84,62.17,61.35,61.4,903928.0
2023-01-27,EVRG,61.34,61.955,61.05,61.74,969068.0
2023-01-30,EVRG,61.64,62.045,61.41,61.69,1137854.0
2023-01-31,EVRG,61.98,62.72,61.408,62.65,1709724.0
2023-02-01,EVRG,62.3,63.23,61.78,62.89,1761688.0
2023-02-02,EVRG,62.94,63.75,62.43,63.24,1453877.0
2023-02-03,EVRG,62.88,63.05,60.37,61.64,1547622.0
2023-02-06,EVRG,61.51,62.15,60.93,62.12,1639129.0
2023-02-07,EVRG,61.92,62.2,60.74,61.98,1200713.0
2023-02-08,EVRG,61.56,61.675,60.04,60.62,1297760.0
2023-02-09,EVRG,60.57,60.76,59.83,60.16,1257213.0
2023-02-10,EVRG,60.37,61.08,60.195,61.07,1199219.0
2023-02-13,EVRG,61.1,61.48,61.015,61.35,743551.0
2023-02-14,EVRG,61.42,61.56,60.52,60.65,965646.0
2023-02-15,EVRG,60.31,61.41,60.17,61.35,1353044.0
2023-02-16,EVRG,60.86,61.335,60.28,61.01,1186733.0
2023-02-17,EVRG,61.29,62.38,61.0125,62.1,963569.0
2023-02-21,EVRG,61.66,62.0,60.685,61.13,1024542.0
2023-02-22,EVRG,60.93,61.51,60.89,60.93,1269804.0
2023-02-23,EVRG,60.82,61.43,60.43,60.76,1638633.0
2023-02-24,EVRG,58.2,61.2,58.16,60.63,1843033.0
2023-02-27,EVRG,60.61,61.19,60.045,60.19,1426572.0
2023-02-28,EVRG,59.87,60.08,58.67,58.81,1623156.0
2023-03-01,EVRG,58.46,58.84,57.81,58.05,2554340.0
2023-03-02,EVRG,57.93,58.93,57.75,58.81,929109.0
2023-03-03,EVRG,58.81,59.56,58.23,59.53,1225760.0
2023-03-06,EVRG,59.53,59.84,58.95,59.22,1267568.0
2023-03-07,EVRG,59.42,59.79,58.18,58.38,1050856.0
2023-03-08,EVRG,57.72,58.905,57.64,58.8,980097.0
2023-03-09,EVRG,58.83,60.06,58.555,58.78,1733885.0
2023-03-10,EVRG,58.76,58.96,57.28,57.56,1182526.0
2023-03-13,EVRG,57.6,60.085,57.47,58.89,1628011.0
2023-03-14,EVRG,59.27,59.95,58.95,59.69,1877036.0
2023-03-15,EVRG,59.55,60.555,59.165,60.29,2503513.0
2023-03-16,EVRG,59.7,60.955,59.7,60.53,1651699.0
2023-03-17,EVRG,60.37,60.47,59.365,59.87,2915946.0
2023-03-20,EVRG,60.13,60.45,59.625,60.04,1829056.0
2023-03-21,EVRG,60.06,60.18,58.33,58.95,1808641.0
2023-03-22,EVRG,58.57,59.07,57.53,57.55,1415026.0
2023-03-23,EVRG,57.38,57.91,56.9648,57.15,2175470.0
2023-03-24,EVRG,57.36,59.46,57.27,59.45,1295942.0
2023-03-27,EVRG,59.7,59.99,59.0,59.12,985332.0
2023-03-28,EVRG,58.99,59.95,58.96,59.24,813893.0
2023-03-29,EVRG,59.34,60.3,59.34,60.13,762725.0
2023-03-30,EVRG,60.45,60.78,59.9801,60.45,659803.0
2023-03-31,EVRG,60.54,61.15,60.45,61.12,1345575.0
2023-04-03,EVRG,60.83,60.86,59.72,60.45,1533964.0
2023-04-04,EVRG,60.35,61.06,60.12,60.72,1012801.0
2023-04-05,EVRG,60.98,63.17,60.98,63.15,1812426.0
2023-04-06,EVRG,63.67,63.93,62.905,63.29,2098455.0
2023-04-10,EVRG,63.02,63.02,61.93,62.84,1798220.0
2023-04-11,EVRG,62.84,63.0,62.5,62.57,1010635.0
2023-04-12,EVRG,62.68,62.93,61.81,62.1,954164.0
2023-04-13,EVRG,61.63,62.28,60.835,62.04,1045855.0
2023-04-14,EVRG,61.44,61.77,60.99,61.36,933670.0
2023-04-17,EVRG,61.58,62.38,61.35,62.06,829093.0
2023-04-18,EVRG,62.08,62.41,61.54,61.74,911555.0
2023-04-19,EVRG,61.91,62.55,61.79,62.49,957426.0
2023-04-20,EVRG,62.57,62.75,62.23,62.75,943443.0
2023-04-21,EVRG,63.28,63.41,62.54,63.02,964000.0
2023-04-24,EVRG,63.02,63.29,62.56,63.09,676818.0
2023-04-25,EVRG,62.97,63.84,62.83,63.68,750682.0
2023-04-26,EVRG,63.08,63.65,62.0,62.03,921048.0
2023-04-27,EVRG,61.95,62.73,61.85,62.53,932675.0
2023-04-28,EVRG,62.43,62.81,61.7,62.11,949546.0
2023-05-01,EVRG,61.92,63.27,61.92,62.47,1378124.0
2023-05-02,EVRG,62.23,62.33,61.13,61.44,881405.0
2023-05-03,EVRG,61.62,62.52,61.38,61.68,1097416.0
2023-05-04,EVRG,61.62,62.4618,60.94,62.18,1124275.0
2023-05-05,EVRG,61.4,62.93,61.37,62.59,1523621.0
2023-05-08,EVRG,62.3,62.91,61.96,62.05,686811.0
2023-05-09,EVRG,62.09,62.32,61.54,62.16,845017.0
2023-05-10,EVRG,62.53,63.26,62.13,63.12,1293853.0
2023-05-11,EVRG,63.02,63.39,62.14,62.43,576539.0
2023-05-12,EVRG,62.78,63.105,62.1,62.37,799430.0
2023-05-15,EVRG,62.52,62.59,61.19,61.71,994028.0
2023-05-16,EVRG,61.73,61.815,60.28,60.31,960174.0
2023-05-17,EVRG,60.31,60.485,59.7,60.04,1375004.0
2023-05-18,EVRG,59.02,59.32,58.5,59.24,988534.0
2023-05-19,EVRG,59.63,60.5,59.25,59.28,1994292.0
2023-05-22,EVRG,59.6,59.83,59.0,59.07,693334.0
2023-05-23,EVRG,58.97,59.81,58.721,58.75,1188306.0
2023-05-24,EVRG,58.62,59.04,57.98,58.2,1034485.0
2023-05-25,EVRG,57.94,57.94,57.13,57.38,1121298.0
2023-05-26,EVRG,57.14,57.54,56.66,57.46,992104.0
2023-05-30,EVRG,57.45,57.86,56.93,57.02,1096692.0
2023-05-31,EVRG,57.15,57.975,56.9,57.85,2053840.0
2023-06-01,EVRG,57.83,57.96,56.68,57.2,1370038.0
2023-06-02,EVRG,56.85,57.955,56.59,57.73,1389707.0
2023-06-05,EVRG,57.88,58.66,57.64,58.21,1155632.0
2023-06-06,EVRG,58.38,58.84,58.175,58.6,1219845.0
2023-06-07,EVRG,58.71,60.01,58.275,59.69,1195847.0
2023-06-08,EVRG,59.75,60.13,59.37,59.77,1299913.0
2023-06-09,EVRG,59.8,60.0187,59.35,59.4,1258992.0
2023-06-12,EVRG,59.46,59.695,59.1394,59.49,1106688.0
2023-06-13,EVRG,59.16,59.58,58.83,59.25,1160845.0
2023-06-14,EVRG,59.38,59.76,58.73,58.92,1144327.0
2023-06-15,EVRG,59.12,59.76,59.075,59.61,1117289.0
2023-06-16,EVRG,59.56,60.175,59.23,59.31,2717198.0
2023-06-20,EVRG,59.51,59.57,58.575,58.85,1476058.0
2023-06-21,EVRG,58.65,59.2,57.86,59.01,1147628.0
2023-06-22,EVRG,59.29,59.49,58.24,58.3,732828.0
2023-06-23,EVRG,58.73,58.94,57.215,57.31,1321703.0
2023-06-26,EVRG,57.6,58.665,57.52,58.56,1516592.0
2023-06-27,EVRG,58.66,59.0,58.43,58.72,1107537.0
2023-06-28,EVRG,58.82,58.82,57.535,57.7,990819.0
2023-06-29,EVRG,57.27,57.926,57.02,57.56,1126466.0
2023-06-30,EVRG,57.65,58.705,57.61,58.42,1591177.0
2023-07-03,EVRG,58.33,58.83,58.0901,58.8,522390.0
2023-07-05,EVRG,58.69,60.135,58.4208,59.75,1408038.0
2023-07-06,EVRG,59.39,59.88,58.73,59.6,1422098.0
2023-07-07,EVRG,59.5,59.5,58.64,58.69,1405785.0
2023-07-10,EVRG,58.78,58.78,57.57,58.03,1204743.0
2023-07-11,EVRG,58.29,58.96,58.12,58.93,693697.0
2023-07-12,EVRG,59.13,60.31,59.0291,60.15,1256481.0
2023-07-13,EVRG,60.09,60.51,59.98,60.51,852363.0
2023-07-14,EVRG,60.31,60.45,59.71,60.16,1259286.0
2023-07-17,EVRG,59.91,60.15,59.045,59.45,785167.0
2023-07-18,EVRG,59.48,60.09,58.27,58.96,975585.0
2023-07-19,EVRG,59.24,60.01,59.09,59.78,1121062.0
2023-07-20,EVRG,60.12,60.91,59.466,60.73,770939.0
2023-07-21,EVRG,61.07,61.84,60.68,61.56,850805.0
2023-07-24,EVRG,61.7,61.7,60.84,61.15,609233.0
2023-07-25,EVRG,61.06,61.446,60.83,61.0,643631.0
2023-07-26,EVRG,61.0,61.74,60.9801,61.32,714081.0
2023-07-27,EVRG,61.14,61.149,59.64,59.82,1611209.0
2023-07-28,EVRG,60.19,60.4,59.63,60.15,1319690.0
2023-07-31,EVRG,60.35,60.5,59.62,59.97,1063047.0
2023-08-01,EVRG,59.91,60.23,59.445,59.5,1410893.0
2023-08-02,EVRG,59.39,59.925,59.24,59.71,1096194.0
2023-08-03,EVRG,59.58,59.65,58.35,58.38,1744882.0
2023-08-04,EVRG,58.19,58.75,57.14,57.3,1170710.0
2023-08-07,EVRG,57.34,57.93,57.2,57.64,1414448.0
2023-08-08,EVRG,57.69,58.169,57.02,58.08,1331648.0
2023-08-09,EVRG,58.08,58.67,57.94,58.1,1321562.0
2023-08-10,EVRG,58.36,58.64,57.89,58.01,1280164.0
2023-08-11,EVRG,58.2,58.33,57.845,58.28,1203598.0
2023-08-14,EVRG,58.32,58.34,57.45,57.63,1636778.0
2023-08-15,EVRG,57.28,57.28,56.58,56.69,1403043.0
2023-08-16,EVRG,56.92,57.17,56.53,57.04,1248308.0
2023-08-17,EVRG,57.21,57.56,56.68,56.8,1287818.0
2023-08-18,EVRG,56.38,56.675,56.04,56.4,1093336.0
2023-08-21,EVRG,56.34,56.48,55.46,56.08,1022171.0
2023-08-22,EVRG,56.03,56.5655,55.77,56.44,1353901.0
2023-08-23,EVRG,56.81,56.88,56.24,56.55,1331523.0
2023-08-24,EVRG,56.45,57.295,56.2,56.23,985019.0
2023-08-25,EVRG,56.24,57.085,56.18,56.89,1266109.0
2023-08-28,EVRG,56.99,57.51,56.69,56.72,1260086.0
2023-08-29,EVRG,56.77,57.23,56.56,57.08,959948.0
2023-08-30,EVRG,55.74,56.0,54.63,55.44,4911098.0
2023-08-31,EVRG,55.74,55.92,54.94,54.97,2887953.0
2023-09-01,EVRG,55.09,55.2,53.29,53.6,2657866.0
2023-09-05,EVRG,53.61,53.69,52.28,52.73,1967745.0
2023-09-06,EVRG,52.79,53.35,52.5,53.31,1697137.0
2023-09-07,EVRG,53.66,54.16,53.4,53.61,2099959.0
2023-09-08,EVRG,53.82,54.055,53.53,53.94,1342286.0
2023-09-11,EVRG,53.47,53.66,52.61,52.71,2532664.0
2023-09-12,EVRG,52.72,53.1,52.35,53.01,1755863.0
2023-09-13,EVRG,52.98,53.8546,52.87,53.72,1522684.0
2023-09-14,EVRG,54.0,54.64,53.87,54.44,1625458.0
2023-09-15,EVRG,54.49,54.89,54.02,54.14,3197599.0
2023-09-18,EVRG,54.43,54.57,53.87,54.14,1915337.0
2023-09-19,EVRG,54.18,54.6,53.25,54.21,1840177.0
2023-09-20,EVRG,54.26,54.73,54.11,54.35,1401605.0
2023-09-21,EVRG,54.32,54.49,53.85,53.86,2744577.0
2023-09-22,EVRG,53.65,53.905,53.24,53.61,1221325.0
2023-09-25,EVRG,53.27,53.53,52.845,53.29,905295.0
2023-09-26,EVRG,53.06,53.06,51.34,51.44,1356028.0
2023-09-27,EVRG,51.46,51.765,50.95,51.05,1701819.0
2023-09-28,EVRG,51.29,51.37,50.21,50.42,2133158.0
2023-09-29,EVRG,50.96,51.38,50.43,50.7,2605549.0
2023-10-02,EVRG,50.51,51.45,47.69,48.1,4860421.0
2023-10-03,EVRG,47.92,49.23,47.29,49.0,3100909.0
2023-10-04,EVRG,48.95,49.0,47.925,48.69,2853158.0
2023-10-05,EVRG,48.84,48.89,48.09,48.34,1603518.0
2023-10-06,EVRG,47.69,48.91,46.9175,48.79,2395126.0
2023-10-09,EVRG,48.81,49.4,48.47,49.35,2501673.0
2023-10-10,EVRG,49.32,50.03,49.32,49.7,1360302.0
2023-10-11,EVRG,49.95,50.46,49.52,50.3,1167015.0
2023-10-12,EVRG,50.16,50.29,49.04,49.24,1770344.0
2023-10-13,EVRG,49.54,50.005,49.33,49.95,1912893.0
2023-10-16,EVRG,50.15,50.78,49.56,50.43,1380583.0
2023-10-17,EVRG,50.11,50.67,49.87,50.09,1686617.0
2023-10-18,EVRG,50.01,50.23,48.87,49.21,2747369.0
2023-10-19,EVRG,48.93,49.23,48.47,48.52,3001098.0
2023-10-20,EVRG,48.67,49.16,48.33,48.37,2312400.0
2023-10-23,EVRG,48.07,48.86,47.46,48.32,2466191.0
2023-10-24,EVRG,48.59,49.18,48.45,48.94,1788233.0
2023-10-25,EVRG,48.72,49.1,48.44,48.9,2304396.0
2023-10-26,EVRG,49.0,49.88,49.0,49.15,2007821.0
2023-10-27,EVRG,49.06,49.3,48.18,48.32,1795003.0
2023-10-30,EVRG,48.39,49.035,48.15,48.48,2412381.0
2023-10-31,EVRG,48.74,49.22,48.6,49.14,3140277.0
2023-11-01,EVRG,49.25,50.17,48.54,49.81,3814545.0
2023-11-02,EVRG,49.69,51.3,49.66,51.04,3072698.0
2023-11-03,EVRG,51.86,52.005,51.19,51.21,2148998.0
2023-11-06,EVRG,51.11,51.46,50.76,50.93,2823303.0
2023-11-07,EVRG,50.77,51.29,50.0,50.33,3586223.0
2023-11-08,EVRG,50.53,50.53,48.8,49.58,2849892.0
2023-11-09,EVRG,49.64,49.79,48.86,49.33,3548481.0
2023-11-10,EVRG,49.5,49.62,49.245,49.41,1808587.0
2023-11-13,EVRG,49.16,49.42,47.975,48.05,2825026.0
2023-11-14,EVRG,49.08,49.98,48.94,49.94,5418003.0
2023-11-15,EVRG,49.93,50.99,49.85,50.27,2060198.0
2023-11-16,EVRG,50.51,50.88,50.18,50.33,1737121.0
2023-11-17,EVRG,50.64,50.66,49.99,50.39,3568667.0
2023-11-20,EVRG,50.25,50.71,49.5,50.47,2118645.0
2023-11-21,EVRG,49.83,50.24,49.2,50.2,2104584.0
2023-11-22,EVRG,50.26,50.89,49.75,50.83,2578922.0
2023-11-24,EVRG,50.92,50.93,50.41,50.55,772832.0
2023-11-27,EVRG,50.59,50.92,50.23,50.72,1527189.0
2023-11-28,EVRG,50.7,51.75,50.5755,51.26,2172429.0
2023-11-29,EVRG,51.34,51.61,50.54,50.64,4231804.0
2023-11-30,EVRG,50.71,51.14,50.2301,51.04,2080179.0
2023-12-01,EVRG,51.29,51.85,50.725,51.76,1866953.0
2023-12-04,EVRG,50.26,51.47,49.84,50.45,9573696.0
2023-12-05,EVRG,50.14,51.3153,49.95,51.21,8994376.0
2023-12-06,EVRG,51.3,52.01,50.865,51.95,3751562.0
2023-12-07,EVRG,51.93,52.12,51.38,51.7,3352195.0
2023-12-08,EVRG,51.79,51.87,51.23,51.56,2020257.0
2023-12-11,EVRG,51.44,51.93,50.95,51.78,2722232.0
2023-12-12,EVRG,51.98,51.98,51.1,51.35,2338860.0
2023-12-13,EVRG,51.36,53.39,51.11,53.33,3398789.0
2023-12-14,EVRG,53.75,54.4,53.26,53.37,4486420.0
2023-12-15,EVRG,52.5,53.1,51.46,51.76,5910446.0
2023-12-18,EVRG,52.04,52.23,51.46,51.46,2158435.0
2023-12-19,EVRG,51.66,52.025,51.48,51.85,2229989.0
2023-12-20,EVRG,51.82,52.0799,50.99,51.05,2766428.0
2023-12-21,EVRG,51.17,51.61,50.89,51.07,2453289.0
2023-12-22,EVRG,51.46,52.15,51.37,51.38,1858194.0
2023-12-26,EVRG,51.39,52.04,51.35,51.79,1698402.0
2023-12-27,EVRG,51.95,51.95,51.42,51.85,1906925.0
2023-12-28,EVRG,51.72,52.31,51.66,52.24,1318885.0
2023-12-29,EVRG,52.05,52.24,51.84,52.2,1393662.0
2024-01-02,EVRG,52.12,53.645,51.99,53.43,2267938.0
2024-01-03,EVRG,53.57,54.05,53.03,53.87,3929326.0
2024-01-04,EVRG,53.78,54.06,53.47,53.61,2222215.0
2024-01-05,EVRG,53.55,54.2406,53.31,53.7,1772892.0
2024-01-08,EVRG,53.67,53.95,53.42,53.92,2051565.0
2024-01-09,EVRG,54.21,54.47,53.53,54.21,3153242.0
2024-01-10,EVRG,53.96,54.41,53.81,54.08,3066348.0
2024-01-11,EVRG,53.97,54.11,53.02,53.35,2983403.0
2024-01-12,EVRG,53.72,54.02,53.31,53.85,2408296.0
2024-01-16,EVRG,53.67,53.67,52.675,52.86,2690879.0
2024-01-17,EVRG,52.54,52.91,51.65,51.79,2999309.0
2024-01-18,EVRG,51.53,51.65,50.82,50.89,3763219.0
2024-01-19,EVRG,50.9,51.095,50.2699,50.44,2491892.0
2024-01-22,EVRG,50.28,50.99,49.69,49.86,2883197.0
2024-01-23,EVRG,49.97,50.155,49.39,50.04,3388741.0
2024-01-24,EVRG,50.34,50.59,49.315,49.35,5393700.0
2024-01-25,EVRG,49.745,50.15,49.36,50.08,2525933.0
2024-01-26,EVRG,50.19,50.42,49.685,49.76,2155001.0
2024-01-29,EVRG,49.94,50.845,49.67,50.6,2357432.0
2024-01-30,EVRG,50.34,50.905,49.835,50.69,2495846.0
2024-01-31,EVRG,51.07,51.54,50.21,50.77,11112114.0
2024-02-01,EVRG,50.57,51.865,50.29,51.75,2676105.0
2024-02-02,EVRG,51.16,51.235,50.26,50.7,2182704.0
2024-02-05,EVRG,50.13,50.28,49.615,49.67,1967710.0
2024-02-06,EVRG,49.5,49.8,49.36,49.66,2157326.0
2024-02-07,EVRG,49.85,49.9,49.35,49.38,1848901.0
2024-02-08,EVRG,49.12,49.12,48.04,48.62,3527389.0
2024-02-09,EVRG,48.62,49.27,48.4,49.08,2495924.0
2024-02-12,EVRG,49.08,49.78,48.82,49.77,4081065.0
2024-02-13,EVRG,49.72,49.83,48.17,49.19,2089115.0
2024-02-14,EVRG,49.19,49.495,48.88,49.19,1909363.0
2024-02-15,EVRG,49.52,50.2,49.505,49.94,2554325.0
2024-02-16,EVRG,49.7,50.415,49.35,50.03,2748067.0
2024-02-20,EVRG,50.13,50.61,49.95,50.18,2043025.0
2024-02-21,EVRG,50.44,50.73,50.15,50.61,2018324.0
2024-02-22,EVRG,50.32,50.565,49.95,50.26,3162860.0
2024-02-23,EVRG,50.19,50.82,50.13,50.57,3482817.0
2024-02-26,EVRG,50.44,50.44,49.41,49.47,1810897.0
2024-02-27,EVRG,49.66,50.23,49.49,50.2,1653521.0
2024-02-28,EVRG,49.89,50.235,49.7,49.79,2136936.0
2024-02-29,EVRG,49.76,50.36,49.49,49.54,3767229.0
2024-03-01,EVRG,49.46,49.555,48.595,49.12,2653707.0
2024-03-04,EVRG,48.99,50.05,48.86,49.99,2804783.0
2024-03-05,EVRG,50.35,51.155,50.045,50.35,2728535.0
2024-03-06,EVRG,50.79,51.185,50.4,50.68,3005434.0
2024-03-07,EVRG,51.13,51.44,51.01,51.36,3266364.0
2024-03-08,EVRG,50.97,51.97,50.53,51.56,4148587.0
2024-03-11,EVRG,51.38,52.14,51.33,51.63,2310325.0
2024-03-12,EVRG,51.38,51.43,50.6,51.27,2258060.0
2024-03-13,EVRG,51.91,52.35,51.29,51.44,2793695.0
2024-03-14,EVRG,51.5,51.62,50.595,50.94,2273056.0
2024-03-15,EVRG,50.82,51.72,50.81,51.6,3810103.0
2024-03-18,EVRG,51.32,51.95,51.205,51.76,2235611.0
2024-03-19,EVRG,51.69,52.43,51.69,52.2,1651935.0
2024-03-20,EVRG,52.32,52.36,51.5,51.77,2270144.0
2024-03-21,EVRG,51.74,52.19,51.69,51.79,2158706.0
2024-03-22,EVRG,52.13,52.2799,51.36,51.63,2400441.0
2024-03-25,EVRG,51.78,51.855,51.115,51.42,1694196.0
2024-03-26,EVRG,51.69,51.76,51.06,51.28,1925374.0
2024-03-27,EVRG,51.45,53.07,51.45,53.05,2169864.0
2024-03-28,EVRG,53.12,53.595,52.99,53.38,2158415.0
2024-04-01,EVRG,53.38,53.38,52.65,52.74,1453544.0
2024-04-02,EVRG,52.81,53.415,52.8,53.01,2070973.0
2024-04-03,EVRG,52.87,52.93,52.44,52.72,1310801.0
2024-04-04,EVRG,53.09,53.215,52.33,52.68,2306268.0
2024-04-05,EVRG,52.33,52.48,51.84,52.2,2040523.0
2024-04-08,EVRG,52.13,52.91,52.11,52.78,1997436.0
2024-04-09,EVRG,53.02,53.17,52.67,52.97,1651095.0
2024-04-10,EVRG,52.07,52.17,51.37,51.68,1890793.0
2024-04-11,EVRG,52.0,52.03,50.98,51.46,2053657.0
2024-04-12,EVRG,51.48,51.75,50.68,50.95,1882040.0
2024-04-15,EVRG,51.15,51.41,50.2725,50.39,1774581.0
2024-04-16,EVRG,50.32,50.36,49.55,49.56,1805126.0
2024-04-17,EVRG,49.78,50.67,49.7,50.53,1242548.0
2024-04-18,EVRG,50.9,51.08,50.355,50.96,1474957.0
2024-04-19,EVRG,51.04,51.97,51.04,51.76,1877578.0
2024-04-22,EVRG,51.79,52.37,51.61,52.26,1446664.0
2024-04-23,EVRG,52.06,52.73,51.93,52.25,1900095.0
2024-04-24,EVRG,51.77,52.71,51.49,52.48,2084190.0
2024-04-25,EVRG,52.23,52.59,51.825,52.42,1641941.0
2024-04-26,EVRG,52.3,52.57,51.685,51.69,1152878.0
2024-04-29,EVRG,51.95,52.78,51.9,52.75,1939769.0
2024-04-30,EVRG,52.35,52.81,51.91,52.45,1779269.0
2024-05-01,EVRG,52.19,53.36,52.11,52.94,1909342.0
2024-05-02,EVRG,53.21,53.57,52.83,53.55,2115003.0
2024-05-03,EVRG,53.92,54.19,53.33,54.1,3059495.0
2024-05-06,EVRG,54.15,54.3,53.69,53.96,2159699.0
2024-05-07,EVRG,54.19,54.68,53.91,54.45,1834653.0
2024-05-08,EVRG,54.34,54.695,54.13,54.57,1531860.0
2024-05-09,EVRG,54.15,55.86,54.15,55.72,4434885.0
2024-05-10,EVRG,56.07,56.22,55.29,55.42,4676034.0
2024-05-13,EVRG,55.69,56.06,55.45,55.74,2779356.0
2024-05-14,EVRG,56.3,56.34,55.15,55.3,2357227.0
2024-05-15,EVRG,56.04,56.16,55.58,55.64,1823172.0
2024-05-16,EVRG,55.69,55.93,55.445,55.64,2033069.0
2024-05-17,EVRG,55.11,55.63,54.94,55.11,2037094.0
2024-05-20,EVRG,55.12,55.23,54.845,55.09,953805.0
2024-05-21,EVRG,55.21,55.655,55.14,55.63,1111075.0
2024-05-22,EVRG,55.22,55.47,54.77,54.84,1283564.0
2024-05-23,EVRG,54.61,54.7,53.4,53.41,1822248.0
2024-05-24,EVRG,53.59,53.74,53.405,53.43,1135168.0
2024-05-28,EVRG,53.46,53.76,53.09,53.26,1224846.0
2024-05-29,EVRG,52.73,52.84,52.4226,52.57,2117952.0
2024-05-30,EVRG,53.01,53.33,52.61,53.29,1458627.0
2024-05-31,EVRG,53.55,54.69,53.435,54.66,3298842.0
2024-06-03,EVRG,54.59,54.93,54.14,54.29,1798083.0
2024-06-04,EVRG,54.12,54.97,54.1,54.58,1595753.0
2024-06-05,EVRG,54.32,54.43,53.775,53.81,1563870.0
2024-06-06,EVRG,53.67,54.06,53.39,53.41,1025178.0
2024-06-07,EVRG,52.84,53.33,52.71,52.96,783278.0
2024-06-10,EVRG,52.51,53.17,52.51,53.05,1452490.0
2024-06-11,EVRG,52.6,53.34,52.52,53.28,1583519.0
2024-06-12,EVRG,53.86,53.86,52.845,53.12,1569808.0
2024-06-13,EVRG,53.05,53.32,52.305,52.96,1261666.0
2024-06-14,EVRG,52.7,53.1,52.51,52.74,901146.0
2024-06-17,EVRG,52.36,53.23,52.15,52.62,1083208.0
2024-06-18,EVRG,52.58,53.15,52.5,52.8,1247125.0
2024-06-20,EVRG,52.72,53.43,52.685,52.87,1346964.0
2024-06-21,EVRG,53.08,53.285,52.61,52.66,2871389.0
2024-06-24,EVRG,52.69,53.615,52.69,53.37,947629.0
2024-06-25,EVRG,53.27,53.27,52.62,52.87,1615948.0
2024-06-26,EVRG,52.41,52.9,52.1,52.83,1365260.0
2024-06-27,EVRG,52.8,53.34,52.605,53.25,1103052.0
2024-06-28,EVRG,53.46,53.48,52.91,52.97,2381276.0
2024-07-01,EVRG,53.28,53.5,52.55,52.71,1156399.0
