Date,Ticker,Open,High,Low,Close,Volume
2023-04-06,XOM,116.86,117.18,114.77,115.05,15777957.0
2023-04-10,XOM,114.78,116.18,114.17,114.54,13006552.0
2023-04-11,XOM,114.96,116.1999,114.38,115.35,11758461.0
2023-04-12,XOM,116.16,116.59,114.93,115.23,10919022.0
2023-04-13,XOM,114.6,115.89,114.13,115.77,12399652.0
2023-04-14,XOM,115.9,116.66,115.12,116.05,11530828.0
2023-04-17,XOM,115.49,116.51,114.42,114.7,13260352.0
2023-04-18,XOM,114.39,117.21,114.3,116.94,17436140.0
2023-04-19,XOM,116.08,116.9,115.77,116.57,10682605.0
2023-04-20,XOM,115.125,115.68,113.2298,115.64,17038747.0
2023-04-21,XOM,116.49,116.88,115.26,116.01,14315329.0
2023-04-24,XOM,115.92,118.885,115.88,118.2,15812514.0
2023-04-25,XOM,117.55,117.74,115.63,116.52,12179825.0
2023-04-26,XOM,116.03,117.09,114.68,115.45,15566086.0
2023-04-27,XOM,115.62,117.01,114.8818,116.83,16279188.0
2023-04-28,XOM,117.25,119.92,116.83,118.34,24381946.0
2023-05-01,XOM,115.99,117.3,114.45,114.67,17354987.0
2023-05-02,XOM,113.94,113.94,109.29,110.1,24324102.0
2023-05-03,XOM,109.08,109.81,107.755,107.93,16212343.0
2023-05-04,XOM,107.9,108.75,105.91,106.04,17177150.0
2023-05-05,XOM,108.55,109.43,107.53,108.68,14968197.0
2023-05-08,XOM,110.5,110.97,109.04,109.11,11187752.0
2023-05-09,XOM,108.34,110.23,108.21,109.14,11370769.0
2023-05-10,XOM,109.74,110.01,106.71,107.74,14880093.0
2023-05-11,XOM,106.49,106.82,104.933,105.79,17165897.0
2023-05-12,XOM,106.31,107.01,104.775,105.78,12613254.0
2023-05-15,XOM,105.51,105.925,104.58,105.07,13715576.0
2023-05-16,XOM,104.63,104.81,102.02,102.52,14800200.0
2023-05-17,XOM,103.39,105.23,102.85,104.82,14064742.0
2023-05-18,XOM,104.55,105.91,104.13,105.77,12005609.0
2023-05-19,XOM,106.57,107.05,105.82,106.26,13359630.0
2023-05-22,XOM,105.84,107.04,104.88,104.97,12882000.0
2023-05-23,XOM,105.99,108.22,105.75,106.4,14394440.0
2023-05-24,XOM,107.38,108.51,106.73,107.59,16340293.0
2023-05-25,XOM,105.94,106.43,104.71,105.66,14316463.0
2023-05-26,XOM,106.47,106.95,104.8327,104.97,12370326.0
2023-05-30,XOM,103.29,104.12,102.61,104.04,11938025.0
2023-05-31,XOM,102.29,103.04,101.74,102.18,24926117.0
2023-06-01,XOM,101.75,105.58,101.26,103.36,13551936.0
2023-06-02,XOM,105.16,106.13,104.53,105.76,14112041.0
2023-06-05,XOM,107.19,107.29,105.09,105.29,12247530.0
2023-06-06,XOM,104.15,106.27,103.98,106.15,12209768.0
2023-06-07,XOM,106.79,108.89,106.73,108.53,16027086.0
2023-06-08,XOM,108.77,109.14,105.9,108.19,13517919.0
2023-06-09,XOM,108.455,108.61,107.16,107.39,12252531.0
2023-06-12,XOM,105.81,107.06,105.555,106.42,14115160.0
2023-06-13,XOM,107.38,108.34,106.275,106.44,13516980.0
2023-06-14,XOM,107.45,108.11,104.39,105.16,16627681.0
2023-06-15,XOM,105.5,107.03,105.44,105.89,16224117.0
2023-06-16,XOM,106.36,106.77,104.955,105.13,43128871.0
2023-06-20,XOM,104.68,104.77,102.12,102.72,17519379.0
2023-06-21,XOM,102.5,104.63,102.33,103.87,13285741.0
2023-06-22,XOM,102.84,103.885,102.65,103.3,12458807.0
2023-06-23,XOM,102.59,102.82,101.62,102.4,17933599.0
2023-06-26,XOM,102.2,104.905,102.2,104.29,14283407.0
2023-06-27,XOM,104.045,104.61,103.27,104.55,13227620.0
2023-06-28,XOM,104.305,105.82,103.2,105.4,13084062.0
2023-06-29,XOM,105.66,106.73,105.13,106.7,11364436.0
2023-06-30,XOM,107.32,107.875,106.8101,107.25,13544664.0
2023-07-03,XOM,107.49,108.46,107.07,107.46,7396992.0
2023-07-05,XOM,107.63,107.92,106.1,106.91,12491205.0
2023-07-06,XOM,105.09,105.72,102.43,102.92,17964883.0
2023-07-07,XOM,101.92,104.0,101.56,103.16,21929158.0
2023-07-10,XOM,102.97,104.75,102.75,104.69,14877615.0
2023-07-11,XOM,105.26,106.16,104.81,105.97,12581080.0
2023-07-12,XOM,107.0,107.65,106.13,106.49,13238236.0
2023-07-13,XOM,105.97,106.23,103.32,104.54,26826838.0
2023-07-14,XOM,104.05,104.05,100.53,100.94,28151920.0
2023-07-17,XOM,100.72,101.665,100.22,101.38,18055849.0
2023-07-18,XOM,100.92,102.2,100.34,100.92,24617795.0
2023-07-19,XOM,101.05,102.4,100.8,101.62,15556541.0
2023-07-20,XOM,102.535,103.66,102.36,103.41,15740202.0
2023-07-21,XOM,104.16,104.38,103.26,103.89,17121487.0
2023-07-24,XOM,104.36,106.16,103.96,105.52,15090859.0
2023-07-25,XOM,105.06,106.0901,104.54,105.68,14116084.0
2023-07-26,XOM,105.11,105.72,104.6391,105.09,15159624.0
2023-07-27,XOM,106.0,106.99,104.74,105.42,17677887.0
2023-07-28,XOM,105.11,105.16,102.32,104.16,17571675.0
2023-07-31,XOM,105.19,107.86,105.19,107.24,24200295.0
2023-08-01,XOM,106.95,107.32,105.53,106.62,14212939.0
2023-08-02,XOM,106.26,106.375,104.57,105.29,13489809.0
2023-08-03,XOM,105.89,107.88,105.3,107.12,16283107.0
2023-08-04,XOM,107.96,109.24,107.33,107.42,14279634.0
2023-08-07,XOM,107.9,108.42,106.505,107.2,12338827.0
2023-08-08,XOM,106.04,107.75,104.835,107.73,14065573.0
2023-08-09,XOM,108.71,110.415,108.31,109.56,19919601.0
2023-08-10,XOM,110.19,111.63,109.44,110.12,15837170.0
2023-08-11,XOM,110.37,112.07,110.05,111.83,14047044.0
2023-08-14,XOM,111.68,111.98,110.78,111.92,12973383.0
2023-08-15,XOM,110.745,110.86,107.965,108.16,14909578.0
2023-08-16,XOM,108.28,109.33,106.275,106.34,13695121.0
2023-08-17,XOM,107.42,110.145,107.42,108.4,16709544.0
2023-08-18,XOM,107.64,110.195,107.62,110.04,16072053.0
2023-08-21,XOM,110.36,110.9793,108.1416,108.71,11092380.0
2023-08-22,XOM,109.17,109.72,107.95,108.1,10520842.0
2023-08-23,XOM,107.04,107.3,105.72,107.15,11435553.0
2023-08-24,XOM,106.42,107.765,106.07,106.35,10723978.0
2023-08-25,XOM,107.43,108.93,106.62,108.25,13579304.0
2023-08-28,XOM,108.45,110.04,108.44,109.16,10382122.0
2023-08-29,XOM,109.66,110.02,108.42,109.81,9665010.0
2023-08-30,XOM,110.44,111.14,109.98,110.88,11922060.0
2023-08-31,XOM,111.12,111.4166,110.615,111.19,17479834.0
2023-09-01,XOM,112.2,113.82,112.2,113.52,14843482.0
2023-09-05,XOM,114.1,115.825,113.5,113.53,18304013.0
2023-09-06,XOM,113.48,114.59,113.23,114.51,13325542.0
2023-09-07,XOM,114.65,115.85,113.7,113.95,13248541.0
2023-09-08,XOM,114.53,116.05,114.32,115.61,14286483.0
2023-09-11,XOM,116.18,116.68,113.565,114.16,14383562.0
2023-09-12,XOM,115.34,117.665,115.27,117.49,20145761.0
2023-09-13,XOM,117.41,117.96,115.9,116.44,13472800.0
2023-09-14,XOM,117.55,118.66,117.33,118.52,15210701.0
2023-09-15,XOM,117.9,118.51,116.5,116.7,34530393.0
2023-09-18,XOM,117.53,118.24,116.7,117.64,14045311.0
2023-09-19,XOM,118.62,118.84,116.61,117.33,12550324.0
2023-09-20,XOM,116.54,118.02,116.32,116.4,11883207.0
2023-09-21,XOM,116.98,117.37,114.6,114.76,14409635.0
2023-09-22,XOM,115.705,116.68,114.805,114.94,13200212.0
2023-09-25,XOM,115.09,116.645,114.83,116.23,11312229.0
2023-09-26,XOM,115.5,116.73,115.37,116.41,11805429.0
2023-09-27,XOM,117.89,120.5,117.4,120.2,23972960.0
2023-09-28,XOM,119.98,120.7,118.19,119.47,16808116.0
2023-09-29,XOM,119.1,119.18,116.733,117.58,18813565.0
2023-10-02,XOM,117.53,117.79,114.55,115.63,14394999.0
2023-10-03,XOM,115.44,116.44,115.0341,115.83,13167056.0
2023-10-04,XOM,114.05,114.09,110.5018,111.5,19622226.0
2023-10-05,XOM,109.8,110.9,108.7,108.99,19966283.0
2023-10-06,XOM,105.73,108.27,105.11,107.17,25367466.0
2023-10-09,XOM,110.44,112.07,109.52,110.92,22369887.0
2023-10-10,XOM,111.02,111.45,110.12,110.45,13891952.0
2023-10-11,XOM,106.96,107.17,104.83,106.49,57939024.0
2023-10-12,XOM,107.59,107.84,106.09,106.47,31182957.0
2023-10-13,XOM,108.03,110.2,107.84,109.87,30290328.0
2023-10-16,XOM,110.5,110.68,109.13,109.95,18451996.0
2023-10-17,XOM,109.73,111.8,109.68,111.39,19775440.0
2023-10-18,XOM,111.82,113.39,111.7,112.95,23380266.0
2023-10-19,XOM,112.72,113.965,111.325,113.02,20972488.0
2023-10-20,XOM,112.92,113.32,110.79,111.08,22445269.0
2023-10-23,XOM,110.63,110.96,108.675,109.45,18184950.0
2023-10-24,XOM,109.7,109.82,108.12,108.39,16733608.0
2023-10-25,XOM,108.52,109.5,108.13,108.59,22047319.0
2023-10-26,XOM,107.45,108.34,106.495,107.6,18768285.0
2023-10-27,XOM,108.89,109.86,104.96,105.55,23092017.0
2023-10-30,XOM,105.74,106.42,105.2122,105.88,19379923.0
2023-10-31,XOM,105.58,106.16,104.54,105.85,22185150.0
2023-11-01,XOM,106.53,107.165,105.46,105.64,28984865.0
2023-11-02,XOM,105.88,109.19,105.5,109.11,25212686.0
2023-11-03,XOM,108.4,108.78,106.54,107.78,30555554.0
2023-11-06,XOM,108.17,108.27,105.77,105.87,19097267.0
2023-11-07,XOM,104.47,104.86,103.29,104.21,20272486.0
2023-11-08,XOM,103.73,104.9,102.89,102.93,19184067.0
2023-11-09,XOM,103.67,103.97,102.855,102.96,18380538.0
2023-11-10,XOM,103.93,104.41,102.905,103.75,17831341.0
2023-11-13,XOM,104.05,105.135,103.805,104.84,15308382.0
2023-11-14,XOM,104.3,104.815,103.87,104.29,18260516.0
2023-11-15,XOM,103.96,105.15,103.5,103.66,20137561.0
2023-11-16,XOM,102.9,103.27,101.15,102.46,22469073.0
2023-11-17,XOM,103.06,105.43,102.75,104.96,22991823.0
2023-11-20,XOM,105.38,105.88,104.43,104.5,17464016.0
2023-11-21,XOM,104.21,104.695,103.215,104.46,14988984.0
2023-11-22,XOM,102.58,104.12,101.94,104.01,18073240.0
2023-11-24,XOM,104.02,105.465,103.91,104.57,9480768.0
2023-11-27,XOM,104.1,104.4,103.18,103.96,17960518.0
2023-11-28,XOM,104.24,104.91,103.88,103.9,20629512.0
2023-11-29,XOM,104.27,104.58,101.64,102.34,26802092.0
2023-11-30,XOM,103.11,104.4778,101.81,102.74,29254687.0
2023-12-01,XOM,102.5,104.22,102.22,102.99,17845276.0
2023-12-04,XOM,102.13,103.36,101.59,102.43,21523942.0
2023-12-05,XOM,102.27,102.34,100.29,100.44,22250251.0
2023-12-06,XOM,100.0,100.72,98.34,99.11,31154792.0
2023-12-07,XOM,99.86,100.835,98.09,98.42,29990727.0
2023-12-08,XOM,99.02,99.7867,98.75,99.55,22074945.0
2023-12-11,XOM,99.8,99.86,98.58,99.62,22252250.0
2023-12-12,XOM,98.68,98.68,97.48,98.05,26083964.0
2023-12-13,XOM,98.04,99.03,97.655,98.92,19915444.0
2023-12-14,XOM,99.85,102.135,99.72,101.58,26165653.0
2023-12-15,XOM,100.59,101.0,100.31,100.9,55527018.0
2023-12-18,XOM,102.13,103.11,101.52,101.65,21610428.0
2023-12-19,XOM,102.0,103.19,101.79,102.99,18904662.0
2023-12-20,XOM,103.5,103.94,101.125,101.27,20988863.0
2023-12-21,XOM,101.47,102.005,100.805,101.73,19250933.0
2023-12-22,XOM,102.31,102.94,101.82,101.91,12927831.0
2023-12-26,XOM,102.74,103.03,102.115,102.14,16835144.0
2023-12-27,XOM,102.04,102.55,101.335,101.66,14558830.0
2023-12-28,XOM,101.39,101.61,100.13,100.19,16329252.0
2023-12-29,XOM,100.37,100.59,99.62,99.98,17746408.0
2024-01-02,XOM,100.92,103.1,100.85,102.36,23483049.0
2024-01-03,XOM,102.27,103.62,101.66,103.22,23490779.0
2024-01-04,XOM,104.08,104.57,102.05,102.32,19395154.0
2024-01-05,XOM,103.17,103.3987,102.125,102.63,15827392.0
2024-01-08,XOM,100.73,101.04,98.9,100.92,23370127.0
2024-01-09,XOM,101.29,101.29,99.19,99.67,19496647.0
2024-01-10,XOM,99.8,99.8,98.16,98.69,18206088.0
2024-01-11,XOM,99.04,99.5,98.56,98.67,15833360.0
2024-01-12,XOM,100.14,100.65,99.1703,99.95,18038183.0
2024-01-16,XOM,99.82,100.01,97.53,97.69,20235699.0
2024-01-17,XOM,96.6,97.96,96.58,96.98,18384015.0
2024-01-18,XOM,97.0,97.09,95.82,96.8,20940275.0
2024-01-19,XOM,96.72,97.0156,96.41,96.95,20042432.0
2024-01-22,XOM,96.7,97.095,95.77,96.82,19955946.0
2024-01-23,XOM,96.81,98.5,96.73,97.91,15863433.0
2024-01-24,XOM,98.32,99.65,97.74,99.6,17330646.0
2024-01-25,XOM,100.31,102.18,99.615,102.13,22089510.0
2024-01-26,XOM,101.97,103.08,101.1901,103.0,20933412.0
2024-01-29,XOM,102.98,103.2,101.86,103.13,18311269.0
2024-01-30,XOM,102.41,104.88,102.1,104.85,19610934.0
2024-01-31,XOM,104.74,104.88,102.7714,102.81,22415291.0
2024-02-01,XOM,103.57,104.01,101.62,102.39,19235887.0
2024-02-02,XOM,103.75,104.0,101.611,101.97,21973405.0
2024-02-05,XOM,101.45,102.38,100.5,101.55,17190890.0
2024-02-06,XOM,102.07,103.04,101.57,102.25,13353286.0
2024-02-07,XOM,102.25,102.73,101.18,102.22,13826832.0
2024-02-08,XOM,102.34,104.42,102.11,103.97,19636898.0
2024-02-09,XOM,104.1,104.84,101.7,101.77,20410510.0
2024-02-12,XOM,102.16,103.4,102.0,103.17,18140661.0
2024-02-13,XOM,102.76,103.09,100.6,101.34,18917431.0
2024-02-14,XOM,101.87,102.615,100.42,100.84,17651253.0
2024-02-15,XOM,100.6,103.935,100.6,103.73,23196310.0
2024-02-16,XOM,104.01,104.63,103.52,103.73,20151426.0
2024-02-20,XOM,103.84,104.12,102.645,102.75,17650010.0
2024-02-21,XOM,103.02,104.98,102.99,104.85,20999189.0
2024-02-22,XOM,104.16,105.41,103.45,104.76,20470668.0
2024-02-23,XOM,103.88,104.09,102.88,103.84,15975888.0
2024-02-26,XOM,103.72,104.935,103.05,104.25,13360800.0
2024-02-27,XOM,104.68,105.15,103.85,104.03,16341378.0
2024-02-28,XOM,104.47,105.43,104.0,104.32,14810486.0
2024-02-29,XOM,104.675,105.07,104.215,104.52,17566066.0
2024-03-01,XOM,105.72,106.39,105.375,105.84,18460120.0
2024-03-04,XOM,105.66,105.85,104.03,104.36,18137989.0
2024-03-05,XOM,104.53,106.27,104.32,105.64,19952712.0
2024-03-06,XOM,106.62,107.57,106.15,106.77,20472790.0
2024-03-07,XOM,106.6,107.98,106.6,107.37,15195406.0
2024-03-08,XOM,107.23,108.4,106.77,108.38,16281468.0
2024-03-11,XOM,108.25,109.12,107.34,109.02,17577285.0
2024-03-12,XOM,109.06,109.28,108.025,108.32,14957247.0
2024-03-13,XOM,109.14,110.35,109.1101,109.53,17121039.0
2024-03-14,XOM,109.83,111.55,109.69,111.47,22121014.0
2024-03-15,XOM,110.85,112.3,110.85,111.27,38264401.0
2024-03-18,XOM,111.79,112.86,111.1,112.3,16770146.0
2024-03-19,XOM,112.22,113.485,112.06,113.09,14878756.0
2024-03-20,XOM,112.72,113.4,112.13,112.99,16119703.0
2024-03-21,XOM,112.92,113.91,112.57,113.49,14878022.0
2024-03-22,XOM,113.48,113.685,112.8239,113.49,14701933.0
2024-03-25,XOM,113.83,115.775,113.83,114.65,14011734.0
2024-03-26,XOM,114.66,114.98,113.41,113.79,13152287.0
2024-03-27,XOM,113.48,115.06,113.41,114.97,12415674.0
2024-03-28,XOM,115.53,116.45,115.06,116.24,18482055.0
2024-04-01,XOM,116.41,117.24,115.38,116.99,13816996.0
2024-04-02,XOM,117.92,119.6,117.33,119.28,19889143.0
2024-04-03,XOM,119.48,119.7479,118.73,119.3,16504307.0
2024-04-04,XOM,119.05,119.88,118.64,119.72,18467362.0
2024-04-05,XOM,119.98,122.15,119.64,121.37,21720591.0
2024-04-08,XOM,121.08,121.735,120.205,120.55,17513939.0
2024-04-09,XOM,121.0,121.6492,120.34,121.18,14129120.0
2024-04-10,XOM,121.22,122.47,120.73,122.2,17409184.0
2024-04-11,XOM,122.69,122.69,120.34,121.79,17555869.0
2024-04-12,XOM,122.95,123.75,119.67,120.37,21556218.0
2024-04-15,XOM,121.09,121.69,119.45,119.68,14778737.0
2024-04-16,XOM,119.555,120.22,117.92,118.69,17633277.0
2024-04-17,XOM,118.55,119.35,117.12,118.63,14372917.0
2024-04-18,XOM,119.0,119.72,117.97,118.52,13728332.0
2024-04-19,XOM,119.155,120.925,118.95,119.88,21045195.0
2024-04-22,XOM,119.26,121.565,118.43,120.56,15583648.0
2024-04-23,XOM,120.0,121.06,119.45,121.03,13724258.0
2024-04-24,XOM,120.3,121.255,119.39,121.05,11903688.0
2024-04-25,XOM,121.03,121.76,119.4,121.33,15848440.0
2024-04-26,XOM,119.0,119.1,116.22,117.96,27050955.0
2024-04-29,XOM,117.76,120.05,117.76,119.64,17109903.0
2024-04-30,XOM,119.11,120.2,117.98,118.27,20738861.0
2024-05-01,XOM,118.28,118.47,115.66,116.03,27443476.0
2024-05-02,XOM,116.26,117.26,115.9,116.24,25315015.0
2024-05-03,XOM,116.0,116.07,114.13,116.0,24374709.0
2024-05-06,XOM,116.67,118.34,116.4,116.75,30766426.0
2024-05-07,XOM,117.28,117.58,115.93,116.17,28074605.0
2024-05-08,XOM,115.71,116.9542,115.41,116.15,16628186.0
2024-05-09,XOM,116.2,118.53,116.19,118.44,17409505.0
2024-05-10,XOM,118.54,118.66,117.58,117.96,13531277.0
2024-05-13,XOM,118.42,119.04,117.12,117.91,14842110.0
2024-05-14,XOM,116.79,117.74,116.48,117.67,14488835.0
2024-05-15,XOM,117.61,118.84,116.08,118.58,18047811.0
2024-05-16,XOM,118.54,119.3,117.54,117.87,15437651.0
2024-05-17,XOM,118.3,119.83,117.96,119.64,14908511.0
2024-05-20,XOM,119.73,119.89,118.55,118.67,11041908.0
2024-05-21,XOM,118.4,119.45,117.78,117.85,13942029.0
2024-05-22,XOM,117.46,117.46,114.96,115.48,16534210.0
2024-05-23,XOM,115.6,117.51,113.36,113.51,14883262.0
2024-05-24,XOM,114.84,115.08,113.035,113.42,12053725.0
2024-05-28,XOM,113.52,115.11,113.07,114.86,13779082.0
2024-05-29,XOM,114.525,114.545,112.81,113.63,13059764.0
2024-05-30,XOM,113.27,114.13,112.955,113.99,14142543.0
2024-05-31,XOM,114.12,117.49,113.99,117.26,27108728.0
2024-06-03,XOM,116.3,116.36,113.76,114.45,17708149.0
2024-06-04,XOM,113.0,113.09,110.92,112.67,18812879.0
2024-06-05,XOM,112.89,113.19,111.48,113.12,13942068.0
2024-06-06,XOM,112.75,114.04,112.11,113.97,12901900.0
2024-06-07,XOM,113.79,114.895,112.6735,112.75,13195698.0
2024-06-10,XOM,113.06,114.2199,112.7,113.08,14467631.0
2024-06-11,XOM,112.49,112.6701,111.31,112.17,11791687.0
2024-06-12,XOM,113.3,113.3,110.54,110.93,13099682.0
2024-06-13,XOM,110.84,110.86,109.72,110.04,14409592.0
2024-06-14,XOM,110.02,110.207,108.59,109.11,13011508.0
2024-06-17,XOM,109.17,109.46,108.18,108.36,20937323.0
2024-06-18,XOM,109.03,110.72,108.8,109.38,17316547.0
2024-06-20,XOM,109.91,112.62,109.59,111.74,17115658.0
2024-06-21,XOM,111.9,112.695,110.76,110.76,49839302.0
2024-06-24,XOM,111.64,114.525,111.64,114.05,14141126.0
2024-06-25,XOM,114.11,114.55,113.455,114.37,13874716.0
2024-06-26,XOM,114.39,114.815,113.14,114.41,14498550.0
2024-06-27,XOM,114.99,114.99,114.11,114.9,16122883.0
2024-06-28,XOM,115.86,116.54,114.675,115.12,23763176.0
2024-07-01,XOM,115.71,116.74,114.53,114.96,11738841.0
2024-07-02,XOM,115.9,115.94,113.49,114.18,12894867.0
2024-07-03,XOM,114.27,115.66,114.27,114.76,7573480.0
2024-07-05,XOM,114.61,114.63,112.685,113.37,11740626.0
2024-07-08,XOM,112.39,113.55,111.42,112.18,12668384.0
2024-07-09,XOM,111.11,112.54,110.62,110.94,11583502.0
2024-07-10,XOM,110.92,111.96,110.42,111.92,9648742.0
2024-07-11,XOM,111.43,113.315,110.93,113.25,12412702.0
2024-07-12,XOM,113.99,114.15,112.63,113.27,11042269.0
2024-07-15,XOM,114.27,116.16,113.575,115.21,12918841.0
2024-07-16,XOM,114.35,116.35,113.71,116.04,12532382.0
2024-07-17,XOM,116.74,118.175,116.55,117.64,13399105.0
2024-07-18,XOM,117.95,119.92,117.435,118.8,12704604.0
